State,inadequate_sleep,binge_drinking,depression,breast,cervical,colon,hpv_associated,lung,ovarian,prostate,skin,uterine
Alabama,37.6,11.8,21.4,120.5,9.3,44.2,12.79,65,11.6,107,19,20.3
Alaska,34.9,19.6,16.1,127.1,6,43,10.52,54.5,10.4,75.7,14.9,21.6
Arizona,35.2,14,17.9,115,5.7,33.1,9.21,47.1,11.4,77.8,20.6,22.1
Arkansas,36.6,13.4,23.2,113.9,9,43.9,13.92,77.4,10.5,105.5,20,22.7
California,33.5,17.9,12.9,118.7,6.9,35.7,10.63,42,11.4,85.5,23,25.3
Colorado,28.9,19,18,124.9,6.3,32.6,9.83,42.2,11.7,90.5,21.4,22
Connecticut,34.9,19.8,17.2,142,6.2,36.2,11.38,59.2,10.1,99.8,21.9,28
Delaware,36.9,18.2,17.6,136.9,9.2,37.4,12.83,67.3,10.3,118.1,29.7,26.7
District of Columbia,35.6,21.6,20.8,139.6,10,45.6,14.16,50.5,13.3,122.9,9.5,29.8
Florida,37.6,17.2,16.7,114.8,8.3,35.4,13.91,57,10.5,83.1,23.2,24
Georgia,38.2,13.3,17.2,124.4,8.1,41.1,12.6,63,11.1,108,27.4,23.4
Hawaii,41.2,19.4,11.4,138,8.6,41.3,9.25,43.7,10.6,79.7,20.3,28.7
Idaho,31.7,15.4,20.8,123.2,6.1,34.5,11.05,48.8,11.5,91.4,26.6,24.9
Illinois,33.9,22.6,15.4,133.5,8.4,42.3,12.03,65.6,10.9,102.4,18.7,29.4
Indiana,36.4,16,19.5,121.6,7.5,41.2,12.58,68.6,11.2,80.2,19.8,28
Iowa,31.4,23.4,19.4,125.9,9,46.3,11.57,63.3,11.1,99.3,24.9,30.5
Kansas,29.4,16.2,18.1,125.5,7.8,40.9,11.39,60.1,11,97.4,24.3,26.1
Kentucky,41.6,14.4,20.1,127.3,9.3,49.4,15.04,91.4,9.2,97.7,27.1,27.4
Louisiana,37,16.9,18.6,122.7,9.6,45.6,13.52,68.8,10,127.2,17.3,19.6
Maine,32.6,19.6,23.8,127.9,6.1,36.3,12.48,72.1,10.7,84.5,25.1,31
Maryland,38.9,14.9,15.8,129.8,6.2,37.1,10.58,55.4,10,118.8,21.9,28.2
Massachusetts,34.6,20.8,19.7,138.4,5.5,37.3,11.38,61.5,11.2,92.6,18.4,27.5
Michigan,38.4,19.9,21.2,117,6,36.9,11.52,63.4,11.2,99.9,18.7,28.6
Minnesota,31.9,21.9,18.4,130.9,4.8,38.1,10.22,52.3,10.6,99.4,29.9,32.2
Mississippi,36.2,12.9,19.1,113.8,10.4,46.3,14.44,73.9,10.1,117.9,17.1,20.6
Missouri,33.2,18.3,21.3,128.9,7.8,40.3,12.9,71.9,9.6,87.4,19.1,24.9
Montana,31.4,22.6,21.1,128,6.6,37.6,10.74,52.8,11,99.1,26.9,27.8
Nebraska,32.1,21.1,18.3,124,8.7,42.2,10.37,56.9,11.3,104.3,23.5,26.5
Nevada,35.3,15.7,17.6,106.6,7.8,36,,51.7,9.7,77.7,15.1,20
New Hampshire,32.7,18.4,22.4,144.9,5,36.3,10.8,60.9,12.6,95.5,32.5,31.2
New Jersey,39.1,17.4,13.7,134.3,7.5,40.8,11.16,55.4,12,115.7,21.9,31.9
New Mexico,32.5,15.3,19.4,108.2,8.3,32.2,9.76,38.6,12,80.2,14.6,25.2
New York,40.1,18.3,16,132.3,7.3,39.1,11.52,57.5,11.6,118.5,17.7,31.6
North Carolina,35.8,13.8,18.5,129.9,7.5,35.9,12.69,67.3,9.7,109.2,24.3,25.5
North Dakota,29.6,25.2,16.9,114,4.8,42.9,9.53,58.4,11.4,105.9,21.3,28.7
Ohio,40.2,18.4,20.3,126.6,7.6,41.8,11.92,67,10.6,95.7,23.1,29.9
Oklahoma,37.6,13.4,23.3,120.4,9.4,40.2,13.29,69.5,10.2,80.6,21.8,24
Oregon,31.2,17.6,26.8,118.3,6.8,33.2,11.87,53,11.5,78.9,24.6,26.5
Pennsylvania,37.8,18.8,18.2,132,6.8,40.6,12.15,63.2,12,92.1,25.8,31.9
Rhode Island,38,19.1,22.3,133.2,8,36.5,11.45,69.6,9.3,91.1,26.7,30.1
South Carolina,38,15.9,19.4,125.1,7.6,35.9,13.14,64.2,9.7,97.7,20.7,23
South Dakota,27.6,20.6,14.6,122.3,8.7,44.3,10.73,56.3,10.5,107.8,25.8,28.9
Tennessee,38.5,10.5,19,118,8.3,41.1,13.34,73.8,10.4,98.7,18.8,23.9
Texas,32.5,16.7,15.9,110.7,9.2,37.2,11.16,51.7,11.1,86.3,12.6,22.1
Utah,32.6,11.9,21.8,117.1,4.6,29.9,7.73,25.6,11.1,103.4,42.3,28.8
Vermont,31.5,19.1,23.1,135.9,,33.3,10.84,61.3,13.3,74.7,35.7,31.4
Virginia,37.4,16.8,16.3,131.1,6.8,36.5,10.8,57.5,10.1,92.3,19.7,24.9
Washington,32.9,17.5,23.4,134.8,7.1,35.8,11.29,55.4,12.6,91.9,25.9,26
West Virginia,40.5,12.4,22,111.4,9,46.2,13.96,77.6,13,81.7,20,30.9
Wisconsin,31.7,24.2,18.1,126.9,6.7,36.6,10.47,57.9,11.1,99.8,23.8,31.2
Wyoming,29.3,17.7,18.7,124.4,6.2,30.5,10.55,45.2,12.6,100.5,26.6,21.7
